(1373)Cincinnati
0.001186 10000 100 100
3.39976 0.325154 0.680717 1.71559 5.18158 
3.39977 0.325171 0.680706 1.71569 5.18153 
3.39978 0.325186 0.680697 1.71579 5.18147 
3.39978 0.325199 0.68069 1.7159 5.18141 
3.39979 0.325208 0.680686 1.71602 5.18135 
3.39979 0.325215 0.680684 1.71614 5.18129 
3.3998 0.325218 0.680684 1.71626 5.18122 
3.39981 0.325219 0.680687 1.71638 5.18116 
3.39981 0.325216 0.680693 1.7165 5.1811 
3.39982 0.32521 0.680701 1.71662 5.18104 
3.39983 0.325201 0.680711 1.71674 5.18098 
3.39984 0.32519 0.680723 1.71685 5.18093 
3.39984 0.325176 0.680737 1.71696 5.18087 
3.39984 0.325159 0.680752 1.71706 5.18083 
3.39985 0.32514 0.680769 1.71716 5.18078 
3.39984 0.32512 0.680786 1.71724 5.18074 
3.39984 0.325099 0.680803 1.71732 5.18071 
3.39982 0.325076 0.68082 1.7174 5.18068 
3.3998 0.325052 0.680837 1.71746 5.18066 
3.39978 0.325028 0.680853 1.71752 5.18064 
3.39974 0.325004 0.680869 1.71758 5.18062 
3.39969 0.324979 0.680883 1.71763 5.18061 
3.39963 0.324954 0.680895 1.71769 5.1806 
3.39956 0.324929 0.680906 1.71774 5.1806 
3.39947 0.324903 0.680915 1.71779 5.18059 
3.39936 0.324876 0.680922 1.71784 5.18059 
3.39923 0.324849 0.680927 1.7179 5.18059 
3.39909 0.32482 0.68093 1.71796 5.18059 
3.39892 0.324788 0.680932 1.71803 5.18059 
3.39874 0.324755 0.680933 1.71809 5.18059 
3.39854 0.324719 0.680932 1.71816 5.18059 
3.39834 0.324681 0.680931 1.71823 5.18059 
3.39814 0.324644 0.680931 1.71828 5.18059 
3.39796 0.32461 0.68093 1.71833 5.18059 
3.39781 0.324581 0.68093 1.71837 5.18058 
3.39772 0.324562 0.680931 1.71842 5.18058 
