Jupiter
0.001186 10000 100 100
5.20261 0.0478193 0.0228 4.76896 1.7523 
5.20264 0.0478759 0.0228 4.76952 1.7523 
5.20266 0.0479309 0.0228 4.77016 1.7523 
5.20269 0.047984 0.0228 4.77088 1.7523 
5.20272 0.0480351 0.0228 4.77167 1.7523 
5.20274 0.0480837 0.0228 4.77254 1.7523 
5.20276 0.0481297 0.0228 4.77347 1.7523 
5.20279 0.0481728 0.0228 4.77447 1.7523 
5.20281 0.0482127 0.0228 4.77553 1.7523 
5.20282 0.0482493 0.0228 4.77664 1.7523 
5.20284 0.0482824 0.0228 4.77781 1.7523 
5.20286 0.0483116 0.0228 4.77902 1.7523 
5.20287 0.0483369 0.0228 4.78027 1.7523 
5.20288 0.0483581 0.0228 4.78156 1.7523 
5.20289 0.0483751 0.0228 4.78288 1.7523 
5.20289 0.0483877 0.0228 4.78422 1.7523 
5.2029 0.048396 0.0228 4.78557 1.7523 
5.2029 0.0483997 0.0228 4.78693 1.7523 
5.2029 0.0483991 0.0228 4.78829 1.7523 
5.2029 0.0483939 0.0228 4.78965 1.7523 
5.20289 0.0483843 0.0228 4.791 1.7523 
5.20289 0.0483703 0.0228 4.79233 1.7523 
5.20288 0.048352 0.0228 4.79364 1.7523 
5.20286 0.0483295 0.0228 4.79492 1.7523 
5.20285 0.048303 0.0228 4.79616 1.7523 
5.20284 0.0482726 0.0228 4.79736 1.7523 
5.20282 0.0482384 0.0228 4.79851 1.7523 
5.2028 0.0482008 0.0228 4.79961 1.7523 
5.20278 0.0481598 0.0228 4.80065 1.7523 
5.20276 0.0481158 0.0228 4.80163 1.7523 
5.20273 0.0480689 0.0228 4.80254 1.7523 
5.20271 0.0480195 0.0228 4.80338 1.7523 
5.20268 0.0479678 0.0228 4.80415 1.7523 
5.20266 0.0479141 0.0228 4.80484 1.7523 
